name,height,north,location,journal,adj,icon,src,isLock
七星山,1120,25.17,北北基,當天來回,qixingshanadj,qixingshanicon,qixingshan,1
東眼山,1212,24.82,桃竹苗,當天來回,dongyanshanadj,dongyanshanicon,dongyanshan,
大劍山,3043,24.34,中彰投,三天以上,dajianshanadj,dajianshanicon,dajianshan,1
光頭山,3059,23.93,雲嘉南,三天以上,guangtoushanadj,guangtoushanicon,guangtoushan,1
向陽山,3600,23.28,高屏,三天以上,xiangyangshanadj,xiangyangshanicon,xiangyangshan,1
鵲子山,679,24.85,宜花東,當天來回,quezishanadj,quezishanicon,quezishan,1
螺山,70,26.22,澎金馬,當天來回,luoshanadj,luoshanicon,luoshan,1
大武崙山,231,25.15,北北基,當天來回,dawulunshanadj,dawulunshanicon,dawulunshan,
觀音山,616,25.13,北北基,當天來回,guanyinshanadj,guanyinshanicon,guanyinshan,
紅淡山,208,25.11,北北基,當天來回,hongdanshanadj,hongdanshanicon,hongdanshan,1
基隆山,587,25.11,北北基,當天來回,jilongshanadj,jilongshanicon,jilongshan,1
無耳茶壺山,580,25.1,北北基,當天來回,wuerchahushanadj,wuerchahushanicon,wuerchahushan,
象山,183,25.1,北北基,當天來回,xiangshanadj,xiangshanicon,xiangshan,
天上山,430,24.94,北北基,當天來回,tianshangshanadj,tianshangshanicon,tianshangshan,1
飛鳳山,423,24.76,桃竹苗,當天來回,feifengshanadj,feifengshanicon,feifengshan,1
拉拉山,2031,24.73,桃竹苗,兩天一夜,lalashanadj,lalashanicon,lalashan,1
加里山,2220,24.51,桃竹苗,兩天一夜,jialishanadj,jialishanicon,jialishan,
聖母登山（抹茶山）,1000,24.49,宜花東,當天來回,shengmudengshanadj,shengmudengshanicon,shengmudengshan,
大霸尖山,3490,24.4577,桃竹苗,兩天一夜,dabajianshanadj,dabajianshanicon,dabajianshan,1
太武山,253,24.457,澎金馬,當天來回,taiwushanadj,taiwushanicon,taiwushan,1
桃山,3324,24.43,桃竹苗,兩天一夜,taoshanadj,taoshanicon,taoshan,1
雪山,3884,24.3834,桃竹苗,兩天一夜,xueshanadj,xueshanicon,xueshan,
火石山,3308,24.3819,桃竹苗,三天以上,huoshishanadj,huoshishanicon,huoshishan,
火炎山,602,24.37,桃竹苗,當天來回,huoyanshanadj,huoyanshanicon,huoyanshan,1
太平山,2000,24.3,宜花東,當天來回,taipingshanadj,taipingshanicon,taipingshan,
鈴鳴山,3272,24.24,中彰投,兩天一夜,lingmingshanadj,lingmingshanicon,lingmingshan,1
雲台山,248,24.23,澎金馬,當天來回,yuntaishanadj,yuntaishanicon,yuntaishan,
稍來山,2307,24.23,中彰投,當天來回,shaolaishanadj,shaolaishanicon,shaolaishan,1
鳶嘴山,2180,24.14,中彰投,當天來回,yuanzuishanadj,yuanzuishanicon,yuanzuishan,1
初音山,906,23.97,宜花東,當天來回,chuyinshanadj,chuyinshanicon,chuyinshan,1
鯉魚山,601,23.91,宜花東,當天來回,liyushanadj,liyushanicon,liyushan,
橫山,443,23.889,中彰投,當天來回,hengshanadj,hengshanicon,hengshan,
貓囒山,1016,23.881,中彰投,當天來回,maolanshanadj,maolanshanicon,maolanshan,1
月眉山,614,23.82,宜花東,當天來回,yuemeishanadj,yuemeishanicon,yuemeishan,1
奎壁山,34,23.5979,澎金馬,當天來回,kuibishanadj,kuibishanicon,kuibishan,1
雲嘉大尖山,1299,23.59,雲嘉南,當天來回,yunjiadajianshanadj,yunjiadajianshanicon,yunjiadajianshan,1
阿里山 (大塔山),2216,23.53,雲嘉南,當天來回,alishanadj,alishanicon,alishan,1
奮起湖大凍山,1976,23.498,雲嘉南,當天來回,fenqihudadongshanadj,fenqihudadongshanicon,fenqihudadongshan,
秀姑巒山,3852,23.4968,雲嘉南,兩天一夜,xiuguluanshanadj,xiuguluanshanicon,xiuguluanshan,1
玉山,3952,23.47,雲嘉南,兩天一夜,yushanadj,yushanicon,yushan,
鹿山,3223,23.45,中彰投,兩天一夜,lushanadj,lushanicon,lushan,1
崁頭山,841,23.26,雲嘉南,當天來回,kantoushanadj,kantoushanicon,kantoushan,1
六十石山,919,23.21,宜花東,當天來回,liushishishanadj,liushishishanicon,liushishishan,
竹子尖山,1110,23.17,雲嘉南,當天來回,zhuzijianshanadj,zhuzijianshanicon,zhuzijianshan,1
刣牛湖山,799,23.4,雲嘉南,當天來回,zhongniuhushanadj,zhongniuhushanicon,zhongniuhushan,1
18羅漢山,200,23,高屏,當天來回,luohanshanadj,luohanshanicon,luohanshan,1
都蘭山,1190,22.89,宜花東,當天來回,doulanshanadj,doulanshanicon,doulanshan,
火燒山,280,22.65,宜花東,當天來回,huoshaoshanadj,huoshaoshanicon,huoshaoshan,1
壽山,356,22.64315,高屏,當天來回,shoushanadj,shoushanicon,shoushan,
太麻里山,1340,22.6431,宜花東,當天來回,taimalishanadj,taimalishanicon,taimalishan,1
笠頂山,659,22.39,高屏,當天來回,lidingshanadj,lidingshanicon,lidingshan,1
紅頭山,552,22.5,宜花東,當天來回,hongtoushanadj,hongtoushanicon,hongtoushan,1
