上山批次	name	en	color	bg	level	metaphor1	metaphor1Text	metaphor2	metaphor2Text	history1	history1_1	history2	history2_1	mammel_repre	bird_repre	reptiles_repre	amphibian_repre	insect_repre	mammal	bird	reptiles	amphibian	insect	others	active	city	journal	height	level	season	sprint 錯字請訂正3遍	summer	fall	winter	note	application	application1	application2	application3	hikinglink	picture1		text1	picture2		text2	picture3		text3	picture4		text4	picture5		text5	picture6		text6	picture7		text7	picture8		text8	picture9		text9	picture10		text10	trail
第一波	玉山	yushan	blue	bgBlue	藍	靠近星星	玉山主峰海拔高達 3,952 公尺，周圍的群峰海拔幾乎也都超過 3,000 公尺。	熱鬧	因位處亞熱帶及高海拔，使得玉山擁有亞熱帶、暖溫帶、冷溫帶及高山寒原帶等不同的氣候型態，進而繁衍出多樣化的動物及植物物種。	"玉山一詞最早出現於《裨海紀遊》，但當時因氣候關係，也有人稱作雪山；甲午戰爭後，日本政府接管台灣，將其命為「新高山」，並與雪山、能高山合稱為台灣三高。
曾有人形容「常年積雪瑩澂有光，晴霽時望之光輝射人，有如白玉」，在中華民國政府接管台灣後，正式定名為「玉山」。"		夫妻樹	"有一對恩愛的情侶，因為雙方家長的反對不能在一起，因此相約跳下懸崖殉情，之後這裡長出了兩棵紅檜木。後人為了紀念這一對情侶堅貞的愛情，因此成全2人的心願，就地讓他們拜堂完婚，因此被稱作夫妻樹。

備註：該夫妻樹於2017年別離，夫樹已倒塌"	"高山白腹鼠
3000m以上山代表"	"岩鷚
3000m以上山代表"	"雪山草蜥
3000m以上山代表"	"楚南氏山椒魚
3000m以上山代表"	"永澤蛇眼蝶
3000m以上山代表"	臺灣水鹿 （常）、山羌 （常）、臺灣黑熊 （常）	藍腹鷳（特）、酒紅朱雀 （常）、栗背林鴝 （常）	阿里山龜殼花 （特）、梭德氏游蛇 （特）、 斯文豪氏攀蜥 （特）	阿里山山椒魚（保）、楚南氏山椒魚（保）、觀霧山椒魚（保）	大紫蛺蝶（保）、妖艷吉丁蟲（保）、臺灣長臂金龜（保）			南投縣、嘉義縣、高雄市	two	high	過1夜＆3000m以上	1,1,1,0	1	1	1	0	冬天需準備雪季裝備	1,1,0	1	1	0	https://mountain.cpami.gov.tw/	yushan1	yushan1: [yushan1webp, yushan1],	/ 玉山主峰上的岩鷚 / 攝影：柯政祥 /	yushan2	yushan2: [yushan2webp, yushan2],	/ 玉山主峰晨曦時刻 / 攝影：柯政祥 /	yushan3	yushan3: [yushan3webp, yushan3],	/ 通往玉山群峰的登山口 / 攝影：柯政祥 /	yushan4	yushan4: [yushan4webp, yushan4],	/ 睥睨群山的臺灣第一高峰 / 攝影：柯政祥 /	yushan5	yushan5: [yushan5webp, yushan5],	/ 遙望玉山北峰 / 攝影：柯政祥 /	yushan6	yushan6: [yushan6webp, yushan6],	/ 主峰已近在眼前 / 攝影：山女孩MelissaxMao冒險生活 / 	yushan7	yushan7: [yushan7webp, yushan7],	/ 前往主峰前的最後一段陡坡 / 攝影：山女孩MelissaxMao冒險生活 / 	yushan8	yushan8: [yushan8webp, yushan8],	/ 著名的風口，風勢強勁 / 攝影：山女孩MelissaxMao冒險生活 / 		: ,			: ,		https://hikingbook.net/trails/EKFc0k0KR0yYKjzKuKS0LQ
第一波	雪山	xueshan	blue	bgBlue	藍	冰凍	雪山的冰河地形以冰斗為主，而目前全台約有 77 處冰斗，知名地理學家鹿野忠雄曾在雪山周邊發現 35 處，而至今，雪山主峰周圍可辨識之冰斗約有 8 處。	純潔	雪山擁有台灣第一高的天然高山湖泊－翠池，終年不乾涸、也不會結冰，是珍貴且乾淨的高山水源。	雪山一名主要來自泰雅族人普遍的稱呼「seakon」，譯音為「雪高翁山」，後來簡稱為「雪翁山」或「雪山」。乃因泰雅族見到雪山南面的岩壁一直在崩裂直瀉，形成縱斷裂溝，而將此特殊地形命名之，意為「岩壁的裂溝」。		曲折的命名過程	古代曾有詩人吟詠「玉山霽雪」，此處的玉山意指雪山；在此一地區狩獵的泰雅族人也對其有不同的稱呼，諸如「哈蓋山」、「馬哈馬顏山」、「雪高翁山」；曾航海經過的英國人稱其為「西魯維亞（Sylvia）山」；最後，在雪山正式定名後，曾被蔣中正總統改名為興隆山，希望國運昌隆，但並未沿用。	"高山白腹鼠
3000m以上山代表"	"岩鷚
3000m以上山代表"	"雪山草蜥
3000m以上山代表"	"楚南氏山椒魚
3000m以上山代表"	"永澤蛇眼蝶
3000m以上山代表"	華南鼬鼠 （常）、臺灣水鹿 （常）、山羌 （常）	白耳畫眉 （常）、冠羽畫眉 （常）、金翼白眉 （常）	臺灣標蛇 （常）、高砂蛇 （常）、雪山草蜥 （常）	臺灣山椒魚 （常）、艾氏樹蛙 （常）、南湖山椒魚 （常）	姬蜂 （常）、葉蟬 （常）、曙鳳蝶 （常）	"雪山圈谷和翠池是台灣的冰河遺跡，圈谷一年四季都有不同的樣貌。而高山杜鵑歷年來多於5月中旬開始綻放，
若是花況好的時候則有機會看到滿圈谷的杜鵑花喔！"	5	苗栗縣、台中市	two	high	過1夜＆3000m以上	1,1,1,0	1	1	1	0	因積雪及日照不長，冬季入山需特別留意裝備&安全	1,1,0	1	1	0	https://mountain.cpami.gov.tw/	xueshan1	xueshan1: [xueshan1webp, xueshan1],	/ 雪山黑森林 / 攝影：柯政祥 /	xueshan2	xueshan2: [xueshan2webp, xueshan2],	/ 延伸的稜線 / 攝影：保用Warranty /	xueshan3	xueshan3: [xueshan3webp, xueshan3],	/ 前往雪山主峰路上 / 攝影：柯政祥 /	xueshan4	xueshan4: [xueshan4webp, xueshan4],	/ 雪山主峰 / 攝影：柯政祥 /	xueshan5	xueshan5: [xueshan5webp, xueshan5],	/ 雪山東峰上 / 攝影：柯政祥 /	xueshan6	xueshan6: [xueshan6webp, xueshan6],	/ 雪山圈谷 / 攝影：柯政祥 /	xueshan7	xueshan7: [xueshan7webp, xueshan7],	/ 遙望北稜角 / 攝影：保用Warranty /	xueshan8	xueshan8: [xueshan8webp, xueshan8],	/ 遙望雪山與北稜角 / 攝影：保用Warranty /	xueshan9	xueshan9: [xueshan9webp, xueshan9],	/ 清晨的魔幻山色 / 攝影：宇宙浪人工作室 /	xueshan10	xueshan10: [xueshan10webp, xueshan10],	/ 雪季快結束時，山頂積雪 / 攝影：宇宙浪人工作室 /	https://hikingbook.net/trails/XGRUxntXSx90QzFik8moWJg
第二波	秀姑巒山	xiuguluanshan	blue	bgBlue	藍	威嚴	秀姑巒山雖非台灣最高，僅次玉山及雪山，但卻是台灣主山脈——中央山脈上的最高峰，因此有「盟主」之稱。	保值	據說秀姑巒山在全盛時期有三家公司在掏金，清朝至日治時期皆有人開採。	"原名為布農族語的「馬霍拉斯山」，意即「白髮蒼蒼的老人」，據說冬季時山頂會有積雪，遠望如白髮老人。
現名有幾種說法：一說為行政上誤植；另一說為鄭成功的妹妹曾在秀姑坪遭遇寒流，隨行婢女林秀巒將衣服解下給她禦寒、自己被凍死，紀念她的後人稱其「秀姑娘娘」，將一旁的高山稱為「秀姑巒山」。"		被冒名的山？	原名為「馬霍拉斯山」的秀姑巒山，在日治時期時，繪製地圖的人員將馬霍拉斯山誤植至另一座山上，因而出現兩座「馬霍拉斯山」，故秀姑巒山改以現在之名稱。	"高山白腹鼠
3000m以上山代表"	"岩鷚
3000m以上山代表"	"雪山草蜥
3000m以上山代表"	"楚南氏山椒魚
3000m以上山代表"	"永澤蛇眼蝶
3000m以上山代表"	臺灣野豬（常）、臺灣水鹿（常）、長鬃山羊（常）	鷦鷯（常）、煤山雀（常）、火冠戴菊鳥（常）	"阿里山龜殼花（特）、梭德氏游蛇（特）、
斯文豪氏攀蜥（特）"	臺灣山椒魚（保）、楚南氏山椒魚（保）、觀霧山椒魚（保）	"大紫蛺蝶（保）、妖艷吉丁蟲（保）、
臺灣長臂金龜（保）"			南投縣、花蓮縣	two	high	過1夜＆3000m以上	1,1,1,1	1	1	1	1		1,1,0	1	1	0	https://mountain.cpami.gov.tw/	xiuguluanshan1	xiuguluanshan1: [xiuguluanshan1webp, xiuguluanshan1],	/ 臺灣高山特色植被 / 攝影：宇宙浪人工作室 /	xiuguluanshan2	xiuguluanshan2: [xiuguluanshan2webp, xiuguluanshan2],	/ 特殊的裸露地形 / 攝影：宇宙浪人工作室 /	xiuguluanshan3	xiuguluanshan3: [xiuguluanshan3webp, xiuguluanshan3],	/ 高海拔植物 / 攝影：宇宙浪人工作室 /	xiuguluanshan4	xiuguluanshan4: [xiuguluanshan4webp, xiuguluanshan4],	/ 綿延的稜線 / 攝影：宇宙浪人工作室 /	xiuguluanshan5	xiuguluanshan5: [xiuguluanshan5webp, xiuguluanshan5],	/ 走在臺灣高山屋脊上 / 攝影：宇宙浪人工作室 /	xiuguluanshan6	xiuguluanshan6: [xiuguluanshan6webp, xiuguluanshan6],	/ 倒木一景 / 攝影：宇宙浪人工作室 /	xiuguluanshan7	xiuguluanshan7: [xiuguluanshan7webp, xiuguluanshan7],	/ 山勢壯麗 / 攝影：宇宙浪人工作室 /		: ,			: ,			: ,		https://hikingbook.net/trails/Ji7Ku690bTQKhRBMSc0isdA
第二波	向陽山	xiangyangshan	blue	bgBlue	藍	神話	向陽山頂有一聞名之湖泊－嘉明湖：山友稱其為「天使的眼淚」；布農族人稱其為「月亮的鏡子」，是擁有許多夢幻奇異故事的一座山。	撕裂	向陽大崩壁主要由片岩組成，岩質脆弱，自崖頂至底部落差達八百公尺，是台灣之單一崩崖落差最大的，因此相當危險。	有一說法是因日治時代當地有「向陽警官駐在所」在附近而得名；另有一別稱「蘭烏斯滔臘」，為布農族人所命，「蘭烏」有啞巴之意，「斯滔臘」當地的一個獵人，據說這個獵人在冬雪時上山打獵，最後卻不幸凍死在此山上，於是族人為了紀念他，便以其名來稱呼此座山。		有靈性的嘉明湖	"兩名登上嘉明湖的男學生，入夜後因濃霧而在湖畔邊迷路，其中一人去找工寮，但隔日仍不見該名男子，在 4 天的搜索後也找不到蹤跡。
最後，發現男子遺體趴在小溪旁；家屬多次擲筊詢問男子是否要下山，皆為無筊，下山後，家屬將其魂魄牽引到石頭上，並將石頭放入甕內，安置於嘉明湖畔。"	"高山白腹鼠
3000m以上山代表"	"岩鷚
3000m以上山代表"	"雪山草蜥
3000m以上山代表"	"楚南氏山椒魚
3000m以上山代表"	"永澤蛇眼蝶
3000m以上山代表"	臺灣黑熊（常）、黃喉貂（常）、山羌（常）	青背山雀（常）、冠羽畫眉（常）、酒紅朱雀（常）	麗紋石龍子 （常）、斯文豪氏攀蜥（特）、赤尾青竹絲 （常）	阿里山山椒魚（常）、盤古蟾蜍（常）、梭德氏赤蛙（常）	高山粉蝶（常）、曙鳳蝶（常）、臺灣長臂金龜（保）	一年四季均可登上嘉明湖一覽美麗風景。	all	高雄市、台東縣	overTwo	high	過2夜以上&3000以上	1,1,1,1	1	1	1	1		1,0,0	1	0	0	https://mountain.cpami.gov.tw/	xiangyangshan1	xiangyangshan1: [xiangyangshan1webp, xiangyangshan1],	/ 沿山壁而開的南橫公路 / 攝影：柯政祥 /	xiangyangshan2	xiangyangshan2: [xiangyangshan2webp, xiangyangshan2],	/ 前往向陽山途中，經過向陽名樹 / 攝影：柯政祥 /	xiangyangshan3	xiangyangshan3: [xiangyangshan3webp, xiangyangshan3],	/ 登頂向陽山途中 / 攝影：山女孩MelissaxMao冒險生活	xiangyangshan4	xiangyangshan4: [xiangyangshan4webp, xiangyangshan4],	/ 通往山頂的路徑 / 攝影：山女孩MelissaxMao冒險生活	xiangyangshan5	xiangyangshan5: [xiangyangshan5webp, xiangyangshan5],	/ 裸露的岩層 / 攝影：山女孩MelissaxMao冒險生活		: [webp, ],			: [webp, ],			: ,			: ,			: ,		https://hikingbook.net/trails/xdG3XmwcTgaWsyQHk2Hbaw
第二波	桃山	taoshan	blue	bgBlue	藍	貴重	桃山上的桃山西溪與桃山北溪為七家灣溪的源頭，又七家灣溪是國寶櫻花鉤吻鮭的故鄉，且印製在新台幣最大幣值 2000 元鈔票上，因此唯一相當重要之水源。	粉紅	因山形自西南側展望狀似顏色粉紅的桃子，同時桃山 5 月是「紅毛杜鵑」盛開的季節。	"因其山形自西南側展望，形狀有如桃子，故名桃山。
當地的泰雅族人稱其「Babokoba」，有拳頭山之意。"		觀音在山中顯靈？	"桃山瀑布旁有一棵大樹，據說其洞窟內有一尊酷似觀音菩薩樣貌的的天然石像。
在 2015 年時，有一名男子表示他在拍照時似乎在瀑布岩壁上隱約看見一幅觀音菩薩的側身像，一旁有遊客感動地在當場跪地膜拜。"	"高山白腹鼠
3000m以上山代表"	"岩鷚
3000m以上山代表"	"雪山草蜥
3000m以上山代表"	"楚南氏山椒魚
3000m以上山代表"	"永澤蛇眼蝶
3000m以上山代表"	長鬃山羊（常）、山羌（常）、白鼻心（常）	深山竹雞（常）、星鴉（常）、深山鶯（常）	臺灣標蛇（常）、高砂蛇（常）、雪山草蜥（常）	臺灣山椒魚（常）、艾氏樹蛙（常）、南湖山椒魚（常）	姬蜂（常）、葉蟬（常）、曙鳳蝶（常）	步道初始沿七家灣溪、桃山北溪走，溪裡有著名的櫻花鉤魩鮭，而櫻花鉤吻鮭主要繁殖季節在10、11月份。	10,11	新竹縣、台中市	two	high	過1夜＆3000m以上	1,1,1,1	1	1	1	1		1,1,0	1	1	0	https://mountain.cpami.gov.tw/	taoshan1	taoshan1: [taoshan1webp, taoshan1],	/ 桃山山頂，標高 3325 公尺 / 攝影：宇宙浪人工作室 /	taoshan2	taoshan2: [taoshan2webp, taoshan2],	/ 眺望山形明顯的大霸尖山 / 攝影：宇宙浪人工作室 /	taoshan3	taoshan3: [taoshan3webp, taoshan3],	/ 前往山頂的路徑 / 攝影：保用Warranty /	taoshan4	taoshan4: [taoshan4webp, taoshan4],	/ 接近山頂時山勢和緩 / 攝影：保用Warranty /	taoshan5	taoshan5: [taoshan5webp, taoshan5],	/ 高山植被 / 攝影：保用Warranty /		: [webp, ],			: [webp, ],			: ,			: ,			: ,		https://hikingbook.net/trails/43H6p2ZnRt6SdH69090OCI8Q
第一波	火石山	huoshishan	blue	bgBlue	藍	會擠深 V	經歷了冰河侵蝕，突起的尖銳山峰呈現倒 V 字形。	焦黑	因山頂裸露的碎裂岩片顏色如黑如木炭，遠看像被烤焦一般。	因山頂祼露的碎裂岩片表面光滑明亮，顏色如黑炭的細粉與碎沙夾雜於砂場上，映著陽光，閃爍在豔陽下紅如火山，因而得名。		真假山頭分辨不了	大多數的山頭皆為綠色，因此攀登雪山西稜時，經過一段密林後，會先看到火石山的「假冒山頭」，必須再走下去約 20 公尺，再攀登上去的的第 2 座山頭才是真正的火石山山頂，其黑色的碎石屑就像被火燒過遺留下來的灰燼。	"高山白腹鼠
3000m以上山代表"	"岩鷚
3000m以上山代表"	"雪山草蜥
3000m以上山代表"	"楚南氏山椒魚
3000m以上山代表"	"永澤蛇眼蝶
3000m以上山代表"	長鬃山羊 （常）、白面鼯鼠（亞）、華南鼱鼠（常）、臺灣黑熊 （常）	岩鷚 （常）、煤山雀 （常）、火冠戴菊鳥 （常）	臺灣標蛇 （常）、高砂蛇 （常）、雪山草蜥 （常）	臺灣山椒魚 （常）、艾氏樹蛙 （常）、南湖山椒魚 （常）	劍青鳳蝶（常）、曙鳳蝶（常）、小紫斑蝶（常）			苗栗縣、台中市	overTwo	high	過2夜以上 & 3000m以上	1,1,1,1	1	1	1	1		1,1,0	1	1	0	https://mountain.cpami.gov.tw/	huoshishan1	huoshishan1: [huoshishan1webp, huoshishan1],	/ 行走於山頂稜線上 / 攝影：宇宙浪人工作室 / 	huoshishan2	huoshishan2: [huoshishan2webp, huoshishan2],	/ 特殊的尖型山峰/ 攝影：宇宙浪人工作室 / 	huoshishan3	huoshishan3: [huoshishan3webp, huoshishan3],	/ 高山冷杉林 / 攝影：宇宙浪人工作室 / 		: [webp, ],			: [webp, ],			: [webp, ],			: ,			: ,			: ,			: ,		https://hikingbook.net/trails/k0Xz2pHpTWOlQAa70Hp26g
第二波	鈴鳴山	lingmingshan	blue	bgBlue	藍	OMG	鈴鳴山原本最著名的爬行路線為北二段的 O 型縱走，但沿途岩層脆弱，在 2016 年曾發生墜落意外，因此，管理單位基於安全考量封閉這條路線數餘年。	步步為營	鈴鳴山的步道擁有原始的森林及巨木，再加上有許多箭竹、芒草及帶刺的藤蔓植物，交錯在灌木叢中，讓攀登的山友需步步為營，避免受傷。	「鈴鳴」一詞來自於當地原住民語，後於日治時期被加以翻譯為「風鈴聲」，而得此名。		都市到荒野的歷險	許多山友指出，在鈴鳴山與閂山的這一段路途中，會看到一台廢棄的檔車、且上面有著生鏽的痕跡，再繼續往下走會看到許多倒塌的巨木，彷彿從都市騎車到山中探險的童話故事般神秘。	"高山白腹鼠
3000m以上山代表"	"岩鷚
3000m以上山代表"	"雪山草蜥
3000m以上山代表"	"楚南氏山椒魚
3000m以上山代表"	"永澤蛇眼蝶
3000m以上山代表"	臺灣野兔（常）、華南鼬鼠（常）、臺灣水鹿（常）	黃腹琉璃（常）、白耳畫眉（常）、紅頭山雀（常）	赤尾青竹絲（常）、高砂蛇（常）、斯文豪氏攀蜥（特）	盤谷蟾蜍（常）、莫氏樹蛙（常）、梭德氏赤蛙（常）	臺灣鳳蝶（特）、寬尾鳳蝶（常）、合歡山蛇目蝶（常）			台中市、花蓮縣	two	high	過1夜＆3000m以上	1,1,1,1	1	1	1	1		1,1,0	1	1	0	https://mountain.cpami.gov.tw/	lingmingshan1	lingmingshan1: [lingmingshan1webp, lingmingshan1],	/ 山頂的壯闊展望 / 攝影：柯政祥 /	lingmingshan2	lingmingshan2: [lingmingshan2webp, lingmingshan2],	/ 視野開闊處可展望群山 / 攝影：山女孩MelissaxMao冒險生活 /	lingmingshan3	lingmingshan3: [lingmingshan3webp, lingmingshan3],	/ 宛如走入童話世界 / 攝影：山女孩MelissaxMao冒險生活 /	lingmingshan4	lingmingshan4: [lingmingshan4webp, lingmingshan4],	/ 林木茂盛的林道 / 攝影：山女孩MelissaxMao冒險生活 /	lingmingshan5	lingmingshan5: [lingmingshan5webp, lingmingshan5],	/ 海拔 3000 以上的景致 / 攝影：保用Warranty /	lingmingshan6	lingmingshan6: [lingmingshan6webp, lingmingshan6],	/ 偶有看天池 / 攝影：保用Warranty /	lingmingshan7	lingmingshan7: [lingmingshan7webp, lingmingshan7],	/ 稜線上的路徑 / 攝影：保用Warranty /		: ,			: ,			: ,		https://hikingbook.net/trails/jZ22nTY91QLSvheP2W699UBg
第二波	稍來山	shaolaishan	pink	bgPink	粉	瑩透	稍來山在夏季時，有一特殊植物「水晶蘭」，是一種無葉綠素的腐生草本植物，其全株潔白且透明如水晶，是種相當難見的植物。	秋	稍來山是中部一帶最熱門的賞楓路線，即使附近一帶的路線難以攀登，但秋季山友仍會上山感受楓紅帶來的滿滿秋意、也感受稍來山最「秋」的態度。	相傳「稍來」是先前居住在台中和平區一帶的泰雅族部落酋長的名稱，像是「稍來山」、「稍來溪」等等。		仙人在此修煉？	據說在稍來山曾有座白色巨塔，塔高近20米，若是登上塔頂可見一座山峰，峰頂上有一大石，大石顏色灰白、尖如鳶嘴，時而可見一穿越穿越 2000 年之仙人，身著彩衣、以各種姿勢修煉於飄渺雲霧間，人稱有緣者才見其仙跡。	"長鬃山羊
2000-3000m山代表"	"帝雉
2000-3000m山代表"	"菊池氏龜殼花
2000-3000m山代表"	"阿里山山椒魚
2000-3000m山代表"	"姬長尾水青蛾
2000-3000m山代表"	臺灣獼猴（常）、白鼻心（常）、山羌（常）	青背山雀（常）、藍腹鷴（常）、藪鳥（常）	臺灣標蛇 （常）、臭青公 （常）、過山刀 （常）	艾氏樹蛙（常）、盤古蟾蜍（常）、梭德氏赤蛙（常）	小紋青斑蝶（常）、臺灣鳳蝶（特）、寬尾鳳蝶（常）	登上瞭望台可眺望鳶嘴山，每到秋季台灣紅榨槭轉紅時，能看到山巒間一片艷紅的景色，十分美麗。	9,10,11	台中市	one	middle	當天來回＆1000m-3000m	1,1,1,1	1	1	1	1		1,0,0	1	0	0	https://mountain.cpami.gov.tw/	shaolaishan1	shaolaishan1: [shaolaishan1webp, shaolaishan1],	/ 海拔 2000 公尺的展望 / 攝影：廖妘甄 /	shaolaishan2	shaolaishan2: [shaolaishan2webp, shaolaishan2],	/ 冬季賞楓的熱門景點 / 攝影：廖妘甄 /	shaolaishan3	shaolaishan3: [shaolaishan3webp, shaolaishan3],	/ 稍來山最知名的紅葉 / 攝影：廖妘甄 /		: [webp, ],			: [webp, ],			: [webp, ],			: [webp, ],			: ,			: ,			: ,		https://hikingbook.net/trails/LMX8eRDbQ99CNwtHnwcHQKg
第一波	加里山	jialishan	pink	bgPink	粉	有母愛	因苗栗的第一大河為後龍溪，又加里山是後龍溪的發源地，因此又名為「苗栗的母親山」。	大和風情	因山形與日本富士山相似，因此加里山也被稱為「台灣的富士山」。	"雖不是加里山脈中的最高峰，但因其對於當地的重要性，因而命名其為加里山。
因沿途為柳杉及闊葉林，昔日也曾設有伐木林場。"		復活樹	加里山上有棵原直徑 1.7 直徑的牛樟，因故被鋸掉後，殘留的基部仍萌發了新葉，看似脆弱不堪，實際上卻擁有旺盛的生命力，因而被稱作「復活樹」。	"長鬃山羊
2000-3000m山代表"	"帝雉
2000-3000m山代表"	"菊池氏龜殼花
2000-3000m山代表"	"阿里山山椒魚
2000-3000m山代表"	"姬長尾水青蛾
2000-3000m山代表"	白面鼯鼠（亞）、台灣野豬（常）、山羌 （常）	黃山雀（常）、冠羽畫眉（特）、黃魚角鴞（常）	百步蛇（常）、阿里山龜殼花（常）、短肢攀蜥（常）	盤古蟾蜍（常）、面天樹蛙（常）	橙翅傘弄蝶（常）、圓翅絨弄蝶（常）、綠豹蛺蝶（常）	每年3、4月可見台灣特有一葉蘭，山頂的杜鵑花開，賞花絕佳景點。	3,4	苗栗縣	two	middle	過1夜＆1000m-3000m	1,1,1,1	1	1	1	1		0,0,0	0	0	0	https://mountain.cpami.gov.tw/	jialishan1	jialishan1: [jialishan1webp, jialishan1],	/ 中海拔林相 / 攝影：柯政祥 /	jialishan2	jialishan2: [jialishan2webp, jialishan2],	/ 加里山最有名的柳杉林 / 攝影：柯政祥 /	jialishan3	jialishan3: [jialishan3webp, jialishan3],	/ 參天柳杉高聳入雲 / 攝影：柯政祥 /		: [webp, ],			: [webp, ],			: [webp, ],			: ,			: ,			: ,			: ,		https://hikingbook.net/trails/XcCIKepNRFCFJmDgUpTdTA
第二波	阿里山 (大塔山)	alishan	pink	bgPink	粉	多人去過	從早期即居住於此的鄒族，清代漢人入山拓墾，到日治時期成為林業重地，山林伐盡後成為重要觀光景點，並結合生態保育、遊憩及歷史遺跡，可說是台灣歷史的見證。	值得珍藏	阿里山森林鐵路在 2002 年被文化部選為世界文化遺產的潛力點，這段路程除了高海拔的鐵路工程設計令人驚嘆之外，其橫跨多元生態的條件也相當值得被好好保存。	"「阿里山」其實是區域及山脈的名稱，塔山為阿里山山脈上的最高峰，也因此有了「不登塔山，不知阿里山之壯麗」一說。
而阿里山一名來自相傳 200多 年前有一名鄒族酋長名為「阿巴里」，勇敢善獵，常常帶族人入山打獵並滿載而歸，族人為敬仰他，將此山稱為「阿里山」。"		山也有分好壞人？	據說，鄒族族人將塔山視為聖山，並認為善良的人逝世後，靈魂會至大塔山；反之，邪惡的人逝世後，靈魂會至小塔山。	"長鬃山羊
2000-3000m山代表"	"帝雉
2000-3000m山代表"	"菊池氏龜殼花
2000-3000m山代表"	"阿里山山椒魚
2000-3000m山代表"	"姬長尾水青蛾
2000-3000m山代表"	臺灣獼猴（常）、臺灣黑熊（常）、水鹿（常）	林雕（常）、黃魚鴞（常）、帝雉（常）	百步蛇（常）、斯文豪氏游蛇（保）、阿里山龜殼花（特）	臺灣山椒魚（保）、楚南氏山椒魚（保）、盤古蟾蜍（常）	青帶鳳蝶（常）、雙環鳳蝶（常）、黑鳳蝶（常）	一年四季均可登上塔山步道，其步道與鐵道並行，鐵道為早期伐木時期運輸木材用，山頂視野也相當開闊！	all	南投縣、嘉義縣	one	middle	當天來回＆1000m-3000m	1,1,1,1	1	1	1	1		0,0,0	0	0	0	https://mountain.cpami.gov.tw/	alishan1	alishan1: [alishan1webp, alishan1],	/ 森林鐵道 / 攝影：林阿喵 /	alishan2	alishan2: [alishan2webp, alishan2],	/ 塔山步道 / 攝影：林阿喵 /	alishan3	alishan3: [alishan3webp, alishan3],	/ 晨曦時出發一景 / 攝影：林阿喵 /	alishan4	alishan4: [alishan4webp, alishan4],	/ 山形清晰可見 / 攝影：林阿喵 /	alishan5	alishan5: [alishan5webp, alishan5],	/ 步道上的巨大樹根 / 攝影：@joyceli1230 /		: [webp, ],			: [webp, ],			: ,			: ,			: ,		https://hikingbook.net/trails/qTSKo7DCT91CZH0ebBVeyQQ
